HATHI_ID,TITLE,YEAR,AUTHOR,BIG5?,BIG6?,CLASS
mdp.39015010756552,"Woman & rococo in France, seen through the life and works of a contemporary, Charles-Pinot Duclos, by Karl Toth; translated by Roger Abingdon.",1970,"Toth, Karl, b. 1882.",,,WOMEN
mdp.39015059459472,Women.,1970,Citizens' Advisory Council on the Status of Women (U.S.),,,WOMEN
uc1.l0071192033,Study of employment of women in the Federal Government.,1970,United States Civil Service Commission. Manpower Statistics Division.,,,WOMEN
mdp.39015059459506,Women's Bureau.,1970,Canada. Women's Bureau.,,,WOMEN
mdp.39015013325504,I am a Black woman.,1970,"Evans, Mari, 1923-",,,WOMEN
uc1.$b113951,The Kennedy women; a personal appraisal [by] Pearl S. Buck.,1970,"Buck, Pearl S. 1892-1973.",,,WOMEN
mdp.39015027918344,"Political women, by Sutherland Menzies.",1970,"Stone, Elizabeth.",,,WOMEN
mdp.39015005475002,"Prisoners of poverty : women wage-workers, their trades, and their lives, by Helen Campbell. With a new foreword by Charlotte Croman.",1970,"Campbell, Helen, 1839-1918.",,,WOMEN
mdp.39015002150301,"Matching college women to jobs, by Juvenal L. Angel.",1970,"Angel, Juvenal L. 1907-",1,1,WOMEN
umn.31951p00820024x,Automation and women workers / [By Jean A. Wells].,1970,United States. Women's Bureau.,,,WOMEN
mdp.39015008352620,"Changes in differences in earnings and occupational status of men and women, 1947-1967, by Vernon T. Clover.",1970,"Clover, Vernon T.",,,WOMEN
mdp.39015005391993,"Women and employment; reports of pilot studies conducted in Delhi and Bombay by the Delhi School of Social Work, Delhi, and Tata Institute of Social Sciences, Bombay, on behalf of the Ministry of Education, Government of India, New Delhi, by S. N. Ranade and P. Ramachandran. With an introd. by B. N. Datar.",1970,"Ranade, S. N., 1929-",,,WOMEN
uva.x000373272,"Man, woman, and marriage: small group process in the family. Edited by Alan L. Grey.",1970,"Grey, Alan L., 1919-",,,WOMEN
mdp.39015034642275,"Women's magazines, 1693-1968 [by] Cynthia L. White.",1970,"White, Cynthia Leslie.",,,WOMEN
mdp.39015012168012,Men and women: the poetry of love. Illustrated by Robert J. Lee.,1970,"Untermeyer, Louis, 1885-1977.",,,WOMEN
mdp.39015046378736,"One woman's ""situation""; a study of Mary Wollstonecraft. -",1970,"George, Margaret.",,,WOMEN
mdp.39015006690831,Personal defense for women [by] S. Margaret Heyden [and] Allan V. Tarpenning.,1970,"Heyden, S. Margaret.",,,WOMEN
mdp.39015002620709,"The women's side / by Winifred Ashton (Clemence Dane, pseud.)",1970,"Dane, Clemence.",,,WOMEN
mdp.39015002623356,"The way of all women; a psychological interpretation, by M. Esther Harding. With an introd. by C. G. Jung.",1970,"Harding, M. Esther 1888-1971.",,,WOMEN
mdp.39015000529977,A matter of simple justice; the report of the President's Task Force on Women's Rights and Responsibilities.,1970,United States. President's Task Force on Women's Rights and Responsibilities.,,,WOMEN
uva.x000368941,American women; a story of social change [by] Robert E. Riegel.,1970,"Riegel, Robert E., 1897-1983",,,WOMEN
mdp.39015002374265,"Letters on the equality of the sexes and the condition of woman, addressed to Mary S. Parker.",1970,"Grimké, Sarah Moore, 1792-1873.",,,WOMEN
mdp.39015048518933,The traffic in women and other essays on feminism / Emma Goldman.,1970,"Goldman, Emma, 1869-1940.",,,WOMEN
uva.x001046934,Woman power: the movement for women's liberation.,1970,"Ware, Cellestine.",,,WOMEN
uva.x000242074,The ruined maid: modes and manners of Victorian women.,1970,"Eley, Geoffrey",,,WOMEN
mdp.39015013745248,The subjection of women. Introd. by Wendell Robert Carr.,1970,"Mill, John Stuart, 1806-1873.",,,WOMEN
pst.000013402440,The position of women in the U.S.S.R. / by G. N. Serebrennikov.,1970,"Serebrennikov, G. N.",,,WOMEN
uva.x000527364,Marriage and the working woman in India.,1970,"Kapur, Promilla, 1928-",,,WOMEN
uva.x001201817,"A study of women of Bengal, by Sankar Sen Gupta.",1970,"Sen Gupta, Sankar.",,,WOMEN
mdp.39015002207846,The immigrant woman and her job.,1970,"Manning, Caroline.",,,WOMEN
uva.x000096773,Sex roles in changing society. Edited by Georgene H. Seward and Robert C. Williamson.,1970,"Seward, Georgene H. 1902-1992",1,1,WOMEN
mdp.39015016145537,"Daughters of the promised land, women in American history. Being an examination of the strange history of the female sex from the beginning to the present with special attention to the women of America, illustrated by curious anecdotes and quotations by divers authors, ancient and modern.",1970,"Smith, Page.",1,1,WOMEN
uc1.32106014185786,"Born female; the high cost of keeping women down, by Caroline Bird with Sara Welles Briller.",1970,"Bird, Caroline.",,,WOMEN
mdp.39015002607797,The Punch book of women's rights.,1970,"Rover, Constance,",,,WOMEN
mdp.39015001998353,"Plato's theory of education, by R. C. Lodge. With an appendix on the education of women according to Plato, by Solomon Frank.",1970,"Lodge, R. C. 1886-1961.",,,WOMEN
mdp.39015035094096,The intelligent woman's guide to future security. -,1970,"Kutner, Luis, 1908-",,,WOMEN
mdp.39015002195082,"The suffragette; the history of the women's militant suffrage movement, 1905-1910.",1970,"Pankhurst, E. Sylvia 1882-1960.",,,WOMEN
mdp.39015001944191,"Susan B. Anthony, the woman who changed the mind of a nation.",1970,"Dorr, Rheta Childe, 1866-1948.",,,WOMEN
mdp.39015008513429,Antimachus of Colophon and the position of women in Greek poetry. : A fragment printed for the use of scholars.,1970,"Benecke, E. F. M. 1870-1895.",,,WOMEN
mdp.39015027742090,Women mentors of men.,1970,"Azmat, Tahera, 1940-",,,WOMEN
mdp.39015008874706,Partners in rebellion: Alabama women in the Civil War [by] H. E. Sterkx.,1970,"Sterkx, H. E.",,,WOMEN
mdp.39015000663412,Women in the field; anthropological experiences.,1970,"Golde, Peggy, 1930-",,,WOMEN
mdp.39015005914349,Employment of women; final report.,1970,"Regional Trade Union Seminar, Paris, 1968.",,,WOMEN
inu.39000005905364,The crooked rib; an analytical index to the argument about women in English and Scots literature to the end of the year 1568.,1970,"Utley, Francis Lee, 1907-",,,WOMEN
mdp.39015058419774,"Women saints of Tamilnad, by M. Arunachalam. -",1970,"Arunachalam, M., 1909-",,,WOMEN
mdp.39015019231177,"Islam, socialism, and women. -",1970,Mozammel Haque.,,,WOMEN
mdp.39015000608169,The education and advancement of women.,1970,"Chabaud, Jacqueline.",,,WOMEN
mdp.39015066062939,"Pioneers of women's education in the United States: Emma Willard, Catherine Beecher, Mary Lyon.",1970,"Goodsell, Willystine, 1870-1962.",,,WOMEN
mdp.39015003816520,Dynamic posture and conditioning for women / [by] Mary Jo Reiter [and] Nancy Cato. Illustrated by Mary Ann Bayless.,1970,"Reiter, Mary Jo.",,,WOMEN
mdp.39015000797848,"Woman's choice : a guide to contraception, fertility, abortion, and menopause / by Robert H. Glass [and] Nathan G. Kase.",1970,"Glass, Robert H., 1932-",1,1,WOMEN
mdp.39015000701998,"Autobiography of a Chinese woman, Buwei Yang Chao. put into English by her husband Yuenren Chao.",1970,"Chao, Pu-wei (Yang), 1889-",,,WOMEN
mdp.39015017684021,Ritual and symbol in transitional Zaramo society with special reference to women.,1970,"Swantz, Marja-Liisa.",,,WOMEN
umn.31951d03005785g,Background facts on women workers in the United States.,1970,United States. Women's Bureau.,,,WOMEN
mdp.39015002607623,The Great War and women's liberation.,1970,"Dalby, Louise Elliott.",,,WOMEN
mdp.39015028086919,The human island; the story of a woman's dedication to the hopeless.,1970,"Lewandowski, Michalene Doskotch.",,,WOMEN
mdp.39015005358927,A history of the national woman's rights movement.,1970,"Davis, Paulina W. 1813-1876.",,,WOMEN
mdp.39015034364599,A survey of women graduates in the field of educational administration.,1970,"Eaton, Louise Lillian, 1942-",,,WOMEN
uc1.$b499236,The first Easter morning. The Gospel accounts of the women's visit to the tomb of Jesus.,1970,"Bode, Edward Lynn.",,,WOMEN
mdp.39015064136123,"Because I live here; the theory and practice of vita-erg ward therapy with deteriorated psychotic women, by S. R. Slavson.",1970,"Slavson, S. R. 1891-",,,WOMEN
mdp.39015035128464,Continuing education of women.,1970,ERIC Clearinghouse on Adult Education.,,,WOMEN
mdp.39015024912266,Participation of women in the economic and social development of their countries. Report of the Secretary General.,1970,United Nations. Secretary-General.,,,WOMEN
uc1.32106001055836,Woman and her mind; the story of daily life.,1970,"Tax, Meredith.",,,WOMEN
inu.39000003726895,Lacrosse for girls and women.,1970,"Delano, Anne Lee.",,,WOMEN
mdp.39015071572708,"History of the Kalamazoo Business and Professional Women's Club, 1920-1970.",1970,"Kennedy, Emilia.",,,WOMEN
mdp.39015042998537,Toward Camelot : the admission of women to the University of Michigan.,1970,"Huber, J. Parker.",,,WOMEN
mdp.39015050298390,Man into woman: a transsexual autobiography / by Dawn Langley Simmons.,1970,"Simmons, Dawn Langley.",,,WOMEN
uva.x000124881,What is happening to American women.,1970,"Scott, Anne Firor, 1921-",,,WOMEN
mdp.39015053147636,"Don't quote me; Washington newswomen and the power society, by Winzola McLendon and Scottie Smith.",1970,"McLendon, Winzola.",,,WOMEN
mdp.39015026597099,South Vietnam's women in uniform.,1970,Phung Thi Hanh.,,,WOMEN
mdp.49015000083593,"A woman of quality, by Stella K. Hershan.",1970,"Hershan, Stella K.",,,WOMEN
mdp.49015000215328,"Woman under socialism. Translated from the original German of the 33d ed., by Daniel De Leon.",1970,"Bebel, August, 1840-1913.",,,WOMEN
mdp.49015000233271,"Society women of Shakespeare's time, by Violet A. Wilson.",1970,"Wilson, Violet A.",,,WOMEN
uc1.b4952798,Medical women: a thesis and a history.,1970,"Jex-Blake, Sophia, 1849-1912.",,,WOMEN
mdp.49015002051978,"Narrative of Sojourner Truth, a bondswoman of olden time, emancipated by the New York Legislature in the early part of the present century, with a history of her labors and correspondence drawn from her Book of life.",1970,"Gilbert, Olive.",,,WOMEN
mdp.35128001564242,"Women executives : a selected, annotated bibliography.",1970,Business and Professional Women's Foundation. Library.,,,WOMEN
wu.89094302114,Movement characteristics of the overarm throw : a kinematic analysis of men and women performers.,1970,"Atwater, Anne E.",,,WOMEN
wu.89010942860,The role of continuing education in the life of the married woman.,1970,"Bowe, Marion Blanche, 1924-",,,WOMEN
uc1.b4267524,"Women at home: the cost to the Canadian economy of the withdrawal from the labour force of a major proportion of the female population, prepared by François D. Lacasse",1970,"Lacasse, François D.",,,WOMEN
uc1.b4276202,Women's roles and politics : India and the United States / by Gerald D. Berreman.,1970,"Berreman, Gerald Duane, 1930-",,,WOMEN
uc1.$b114660,The last woman in his life.,1970,"Queen, Ellery.",,,WOMEN
uc1.b3916366,The subjection of women.,1970,"Mill, John Stuart, 1806-1873.",,,WOMEN
uc1.b3921911,"The Arthur and Elizabeth Schlesinger Library on the History of Women in America, 1968-1970. [Text by Jeannette Bailey Cheek, director.",1970,Arthur and Elizabeth Schlesinger Library on the History of Women in America.,,,WOMEN
wu.89065278103,The shape of Adam's rib: a lively history of women's work in the Christian Church. Illus. by Thelma Pyatt.,1970,"Lollis, Lorraine.",,,WOMEN
wu.89080462369,Annual conference : [program] / Wisconsin Council of Catholic Women.,1970,Wisconsin Council of Catholic Women.,,,WOMEN
txu.059173023366389,"Shawls, crinolines, filigree; the dress and adornment of the women of New Mexico, 1739 to 1900.",1970,"Espinosa, Carmen Gertrudis, 1892-",,,WOMEN
pst.000022811448,Problems of women's liberation : a Marxist approach / Evelyn Reed.,1970,"Reed, Evelyn.",,,WOMEN
uc1.32106001057444,A vindication of the rights of women [by] Mary Wollstonecraft.,1970,"Wollstonecraft, Mary, 1759-1797.",,,WOMEN
uc1.32106002180419,A diary of women.,1970,"Mechem, James, 1923-",,,WOMEN
uc1.32106001058707,Women in Australian society.,1970,"Stephenson, Rosalie.",,,WOMEN
uc1.31822014224935,Face value; women in Papua and New Guinea. Text and drawings by Elizabeth Durack,1970,"Durack, Elizabeth",,,WOMEN
wu.89001135912,"Beaumarchais, adventurer in the century of women.",1970,"Frischauer, Paul, 1898-1977.",,,WOMEN
uc1.b2832008,Women in profile: study in silhouette [by] F. Gordon Roe.,1970,"Roe, Frederic Gordon.",,,WOMEN
inu.30000007717683,A history of the education of women in the United States.,1970,"Farello, Elene Wilson.",,,WOMEN
inu.32000001739020,In pride and with promise; prepared from the official records of the International Federation of Business & Professional Women and written by Phyllis A. Deakin.,1970,"Deakin, Phyllis A.",,,WOMEN
umn.31951001861980k,Adam's fractured rib; observations on women in the church.,1970,"Ermarth, Margaret Sittler.",,,WOMEN
pst.000022132192,The burning bra : the American breast fetish and women's liberation / [By] Denton E. Morrison [and] Carlin Paige Holden.,1970,"Morrison, Denton E.",,,WOMEN
uiug.30112020967961,Report of the Royal Commission on the Status of Women in Canada.,1970,Royal Commission on the Status of Women in Canada.,,,WOMEN
pst.000001704518,"Appeal of one half the human race, women, against the pretensions of the other half, men.",1970,"Thompson, William, 1775-1833.",,,WOMEN
pst.000001704563,Women's suffrage : [a record of the women's suffrage movement in the British Isles / with biographical sketches of Miss Becker.,1970,"Blackburn, Helen A.",,,WOMEN
inu.32000002762013,The place of women in society.,1970,"Hudson, Kenneth.",,,WOMEN
wu.89004278990,"The Ragionamenti: the lives of nuns, the lives of married women, the lives of courtesans.",1970,"Aretino, Pietro, 1492-1556.",,,WOMEN
inu.30000011413113,Pioneer work in opening the medical profession to women; autobiographical sketches.,1970,"Blackwell, Elizabeth, 1821-1910.",,,WOMEN
coo.31924003484296,"A longitudinal study of the dietary of elderly women: report of  the first longitudinal study of old people to be carried out in this country [by] B. R. Stanton, A. N. Exton-Smith.",1970,"Stanton, B. R.",,,WOMEN
pst.000005746231,Campus 1970 [i.e. nineteen seventy] Where do women stand? : research report of a survey on women in academe.,1970,"Oltman, Ruth M.",,,WOMEN
uc1.$b334385,Women in Zambia.,1970,"Dahlschen, Edith.",,,WOMEN
pst.000031328869,"Changing roles of men and women :  what it means to youth / by C. Gilbert Wrenn, Shirley Schwarzrock.",1970,"Wrenn, C. Gilbert 1902-",,,WOMEN
pst.000028092254,Gymnastics for women / by Blanche Jessen Drury and Andrea Bodó Schmid. Illustrated by Patricia Thomson.,1970,"Drury, Blanche Jessen.",,,WOMEN
coo.31924000540439,Women returning to the labour force : a staff study prepared by Linda Bell / Women's Bureau Careers Centre.,1970,Ontario. Women's Bureau. Careers Centre.,,,WOMEN
mdp.39076006672625,"The wit of women, compiled by Lore and Maurice Cowan.",1970,"Cowan, Lore.",,,WOMEN
uc1.$b800686,Because of women / [by] Mbella Sonne Dipoko.,1970,"Dipoko, Mbella Sonne, 1936-",,,WOMEN
uc1.c051772497,"Equal rights 1970. Hearings, Ninety-first Congress, second session, on S.J. Res. 61 and S.J. Res. 231, proposing an amendment to the Constitution of the United States relative to equal rights for men and women",1970,United States. Congress. Senate. Committee on the Judiciary.,,,WOMEN
wu.89007783822,"The role of the military : proceedings of the Thirteenth Annual Institute on United States Foreign policy / sponsored by Institute of World Affairs, League of Women Voters of Wisconsin, World Affairs Council of Milwaukee, April 25, 1970, the University of Wisconsin--Milwaukee.",1970,"Institute on United States Foreign Policy 1970 : University of Wisconsin, Milwaukee)",,,WOMEN
uc1.b3296312,"Our western border : its life, combats, adventures, forays, massacres, captivities, scouts, red chiefs, pioneer women, one hundred years ago ... / Carefully written and compiled by Charles McKnight.",1970,"McKnight, Charles, 1826-1881.",,,WOMEN
mdp.35112103227130,Seminar on the Effects of Scientific and Technological Developments on the Status of Women,1970,"Seminar on the Effects of Scientific and Technological Developments on the Status of Women, Jassy, (1969.)",,,WOMEN
mdp.35112103227007,Seminar on the Participation of Women in the Economic Life of Their Countries (with reference to the implementation of article 10 of the Declaration on the elimination of discrimination against women); [report],1970,"Seminar on the Participation of Women in the Economic Life of Their Countries, Moscow, (1970.)",,,WOMEN
inu.30000113982957,The emancipation of women [by] D. C. Brooks.,1970,"Brooks, D. C.",1,1,WOMEN
ien.35556005503552,Women as printers.,1970,"Rather, Lois, 1905-",,,WOMEN
coo.31924002386013,"Women: their social and economic status; selected references, December 1970.",1970,"Dupont, Julie A.",,,WOMEN
uiug.30112105141433,"Women's and misses' dress shoes with leather, vinyl, or fabric uppers : Benson Shoe Co., Lynn, Mass., and workers of Benson Shoe Co., Dartmouth Shoe Co., Brockton, Mass., and the Hartman Shoe Manufacturing Co. and Lemar Shoes, Inc., both of Haverhill, Mass.",1970,United States Tariff Commission.,,,WOMEN
msu.31293100440100,"Centennial encyclopaedia of the African Methodist Episcopal Church : containing principally the biographies of the men and women, both ministers and laymen, whose labors ... helped make the A.M.E. Church what it is : also short historical sketches ... / by Richard R. Wright, Jr., editor-in-chief ; assisted by John R. Hawkins, associate editor ...",1970,"Wright, Richard R. b. 1878.",,,WOMEN
pst.000000473446,Women in industry : a study in American economic history.,1970,"Abbott, Edith, 1876-1957.",,,WOMEN
pst.000000077170,Guide lines for businessmen and women.,1970,"Sekalala, Aga, 1944-",,,WOMEN
pst.000027953129,Women and men of the French Renaissance.,1970,"Sichel, Edith Helen, 1862-1914.",,,WOMEN
uiug.30112066829828,Pathways to military service for college men and women : October 1970.,1970,"United States. Office of the Assistant Secretary of Defense (Manpower, Reserve Affairs, and Logistics)",,,WOMEN
uc1.c2975283,Women in medical school.,1970,"Cartwright, Lillian Kaufman, 1933-",,,WOMEN
txu.059173022926874,Women & the Cuban revolution / speeches by Fidel Castro ; articles by Linda Jenness.,1970,"Castro, Fidel, 1926-",,,WOMEN
txu.059173026972807,Drinking patterns of low-income Mexican American women / Robert Lee Maril and Anthony N. Zavaleta.,1970,"Maril, Robert Lee.",,,WOMEN
uc1.31210016401828,"Final act / Organization of American States, Inter-American Commission of Women.",1970,Inter-American Commission of Women. Assembly.,,,WOMEN
uva.x001971317,The women's equal rights movement in Kenya / by Audrey Wipper.,1970,"Wipper, Audrey.",,,WOMEN
uva.x004373604,"Women's suffrage; [a record of the women's suffrage movement in the British Isles, with biographical sketches of Miss Becker]",1970,"Blackburn, Helen, 1842-1903.",,,WOMEN
uva.x000416732,"Prisoners of poverty; women wage-workers, their trades and their lives.",1970,"Campbell, Helen, 1839-1918.",,,WOMEN
uva.x001011847,"Wine, women, and song / mediaeval Latin students' songs now first translated into English verse with an essay by John Addington Symonds.",1970,"Symonds, John Addington, 1840-1893",,,WOMEN
uva.x000287958,"Glorious lives of great men and women; containing interesting and delightful events in the lives of some eminent poets, writers, soldiers, statesmen, kings, and queens of the world. Edited by N. B. Sen.",1970,"Sen, N. B.",,,WOMEN
uva.x000155672,Pioneer women in Texas.,1970,"Pickrell, Annie Doom, 1871-",,,WOMEN
uc1.l0052992906,Employment survey; survey of employment of women and members of various ethnic groups.,1970,California State University and Colleges. Office of the Chancellor. Faculty and Staff Affairs.,,,WOMEN
uva.x000107005,Women's liberation : blueprint for the future / compiled by Sookie Stambler.,1970,"Stambler, Sookie,",,,WOMEN
mdp.39015004401223,The manufacture of madness; a comparative study of the Inquisition and the mental health movement [by] Thomas S. Szasz.,1970,"Szasz, Thomas, 1920-2012.",1,1,SAMPLE
umn.31951002394498f,Problems in aesthetics; an introductory book of readings. -,1970,"Weitz, Morris",1,1,SAMPLE
mdp.39015058007983,"Probability and inductive logic [by] Henry E. Kyburg, Jr.",1970,"Kyburg, Henry Ely, 1928-",1,1,SAMPLE
mdp.39015000300841,"Families in crisis, edited by Paul H. Glasser and Lois N. Glasser.",1970,"Glasser, Paul H.",1,1,SAMPLE
mdp.39015001141962,Political development; : essays in heuristic theory / [by] Gabriel A. Almond.,1970,"Almond, Gabriel A. 1911-2002.",1,1,SAMPLE
mdp.39015070044121,The discovery of the unconscious; the history and evolution of dynamic psychiatry [by] Henri F. Ellenberger.,1970,"Ellenberger, Henri F. 1905-",1,1,SAMPLE
mdp.39015001796591,The liberator Simón Bolívar; man and image. Edited with an introd. by David Bushnell.,1970,"Bolívar, Simón, 1783-1830.",1,1,SAMPLE
mdp.39015001640559,Psychology as a human science; a phenomenologically based approach.,1970,"Giorgi, Amedeo, 1931-",1,1,SAMPLE
mdp.39015046369297,"National development and sectional crisis, 1815-1860. Edited by Joel H. Silbey.",1970,"Silbey, Joel H.",1,1,SAMPLE
mdp.39015005352607,"We talk, you listen; new tribes, new turf, by Vine Deloria, Jr.",1970,"Deloria, Vine.",1,1,SAMPLE
coo.31924003341728,"Population control, edited by Anthony Allison.",1970,"Allison, Anthony C. 1925-",1,1,SAMPLE
mdp.39015016126859,The structure of community power. Edited by Michael Aiken and Paul E. Mott.,1970,"Aiken, Michael,",1,1,SAMPLE
mdp.39015029764977,The art of colonial America. Designed by Gerard Nook.,1970,"Glubok, Shirley.",1,1,SAMPLE
mdp.39015002528431,"Freedom & tyranny; social problems in a technological society. Edited, with introductions, by Jack D. Douglas. Consulting editor: Marvin Bressler.",1970,"Douglas, Jack D.",1,1,SAMPLE
uc1.b4267544,"Market power and economic welfare, an introduction [by] William G. Shepherd. Consulting editor: Donald J. Dewey.",1970,"Shepherd, William G.",1,1,SAMPLE
mdp.39015013290161,International targets for development. Edited by Richard Symonds.,1970,"Symonds, Richard, 1918-2006.",1,1,SAMPLE
mdp.39015010354069,The economic effects of the two world wars on Britain; prepared for the Economic History Society [by] Alan S. Milward.,1970,"Milward, Alan S.",1,1,SAMPLE
mdp.39015002814831,"Witchcraft and sorcery; selected readings, edited by Max Marwick.",1970,"Marwick, Max.",1,1,SAMPLE
uc1.b4954923,The making of a surgeon [by] William A. Nolen.,1970,"Nolen, William A., 1928-1986.",1,1,SAMPLE
uc1.b4414995,Beyond Malthus; population and power [by] Neil W. Chamberlain.,1970,"Chamberlain, Neil W.",1,1,SAMPLE
mdp.39015005522704,Culture and personality.,1970,"Wallace, Anthony F. C., 1923-",1,1,SAMPLE
mdp.39015003521237,"Man, crime, and society, by Herbert A. Bloch and Gilbert Geis.",1970,"Bloch, Herbert Aaron, 1904-1965.",1,1,SAMPLE
mdp.39015002262858,Intelligence and personality: their assessment and relationship [by] Alice Heim.,1970,"Heim, Alice Winifred, 1913-",1,1,SAMPLE
mdp.39015002773516,"An essay on the principle of population; and, A summary view of the principle of population; edited with an introduction by Antony Flew.",1970,"Malthus, T. R. 1766-1834.",1,1,SAMPLE
uc1.b3473067,The Catholic community in India [by] Ka Naa Subramanyam.,1970,"Cupramaṇyam, Ka. Nā. 1912-1988.",1,1,SAMPLE
mdp.39015002550427,Modern sociology: introductory readings; selected readings.,1970,"Worsley, Peter.",1,1,SAMPLE
mdp.39015007413837,Atlas of descriptive histology [by] Edward J. Reith [and] Michael H. Ross.,1970,"Reith, Edward J.",1,1,SAMPLE
mdp.39015008401773,"Speeches of John Bright, M. P., on the American question. With an introduction by Frank Moore.",1970,"Bright, John, 1811-1889.",1,1,SAMPLE
mdp.39015035104390,Programming for optimal decisions: selected readings in mathematical programming techniques for management problems; edited by P. G. Moore and S. D. Hodges.,1970,"Moore, P. G. 1928-",1,1,SAMPLE
mdp.39015004123173,The practice of Zen.,1970,"Chang, Chʻeng-chʻi.",1,1,SAMPLE
mdp.39015010752072,"Modern India and world fellowship, by K.K. Datta.",1970,"Datta, Kalikinkar, 1905-",1,1,SAMPLE
mdp.39015002556002,Bureaucracy.,1970,"Albrow, Martin.",1,1,SAMPLE
mdp.39015002284597,Nuremberg and Vietnam: an American tragedy.,1970,"Taylor, Telford.",1,1,SAMPLE
mdp.39015038904986,Effective study/ by Francis P. Robinson.,1970,"Robinson, Francis Pleasant, 1906-",1,1,SAMPLE
mdp.39015001415457,Classroom management / Judith M. Smith and Donald E.P. Smith.,1970,"Smith, Judith M.",1,1,SAMPLE
mdp.39015002701459,Owning-up / George Melly ; illustrated by Trog.,1970,"Melly, George, 1926-2007.",1,1,SAMPLE
mdp.39015038862747,Ingenuity in mathematics.,1970,"Honsberger, Ross, 1929-",1,1,SAMPLE
mdp.39015005439990,Dombey and Son; edited by Peter Fairclough; with an introduction by Raymond Williams and original illustrations by Hablot K. Browne ('Phiz'),1970,"Dickens, Charles, 1812-1870.",1,1,SAMPLE
mdp.39015030639846,The un-melting pot: an English town and its immigrants.,1970,"Brown, John, 1924-",1,1,SAMPLE
mdp.39015001840993,The making of the English landscape [by] W. G. Hoskins.,1970,"Hoskins, W. G. 1908-1992.",1,1,SAMPLE
mdp.39015027325318,Southampton: a biography [by] A. Temple Patterson.,1970,"Patterson, A. Temple",1,1,SAMPLE
mdp.39015031902136,Nottingham: a biography.,1970,"Trease, Geoffrey, 1909-1998.",1,1,SAMPLE
mdp.39015049815924,Reading: a biography.,1970,"Wykes, Alan.",1,1,SAMPLE
mdp.39015028499138,Young and Black in America. Introductory notes by Julius Lester.,1970,"Alexander, Rae Pace.",1,1,SAMPLE
uc1.32106001017083,"Deviance & respectability; the social construction of moral meanings, edited by Jack D. Douglas.",1970,"Douglas, Jack D.",1,1,SAMPLE
mdp.39015015648549,Profession of medicine : a study of the sociology of applied knowledge / Eliot Freidson.,1970,"Freidson, Eliot, 1923-2005.",1,1,SAMPLE
mdp.39015011886754,New reformation : notes of a neolithic conservative / Paul Goodman.,1970,"Goodman, Paul, 1911-1972.",1,1,SAMPLE
mdp.39076006079243,Beethoven; a documentary study. Compiled and edited by H. C. Robbins Landon.,1970,"Landon, H. C. Robbins 1926-2009",1,1,SAMPLE
mdp.39015045523209,Violence and the brain [by] Vernon H. Mark [and] Frank R. Ervin.,1970,"Mark, Vernon H.",1,1,SAMPLE
mdp.39015015812269,Guide to the national monuments in the Republic of Ireland; including a selection of other monuments not in state care.,1970,"Harbison, Peter.",1,1,SAMPLE
mdp.39015004037837,The sins of our fathers; roots of conflict in Northern Ireland.,1970,"Edwards, Owen Dudley.",1,1,SAMPLE
mdp.39015009141899,Divided Ulster.,1970,"De Paor, Liam.",1,1,SAMPLE
mdp.39015000554959,Holborn: an historical portrait of a London Borough; with a foreword by C. V. Wedgwood.,1970,"Lehmann, John, 1907-1987.",1,1,SAMPLE
